Date,RMS P.O,Part Received,Vendor,Promise date,Notes,Vendor Contact,Recieved Date,Carrier,Trackin/Pro#,L,W,H,Weight,Inbound Shipping Charges,Date,Customer,Customer P.O,RMS Invoice #,Ship To,Line #,HS code,Shipped,Invoice Status,L,W,H,Weight,Carrier,Tracking/ Pro#,Crating/ Handling charges,Ship out Charges,Customer contact,Notes
18-May-23,9356,ACCUMULATOR,Ritter,,RMS will pickup,customercare@rittertech.com,,,1Z 900 689 03 0005 8698,,,,,,2/28/2023,Jords,108732,,Contact ECI. Order to be shipped to YMD,,,Already shipped,,,,,,,,,,,Already shipped
2-Mar-23,9357,Chainguard for Modern 9300 conveyor ,,,,,,,,,,,,,///, ,,,,,,,,,,,,,,,,,
15-Mar-23,9358,BEARING SEAL-OUTBOARD,Motion,Item in Stock,,Gloria.Gonzalez@motion.com,,UPS,1Z3336270303831012,,,,,,3/6/2023,GE,42300080517,,GE Energy Parts. ATLANTA,1,,07/21/2023 Fedex 772813499956,,,,,,,,,,,
17-Mar-23,9359,COVER RING,Buffalo,2 Weeks,,nschultz@buffalopumps.com,5/25/2023,UPS,1Z1237410353380220,11,18,2,1 LB,,3/16/2023,GE,42300082514,,GE Energy Parts. ATLANTA,1,,8/18/2023,,,,,,Fedex,773100220601,,,,
17-Mar-23,9360,4783-008-MESH MESH STRAINER INSERT,Ulbrec,1-2 Weeks ARO,ORDER CANCELED FROM SUPPLIER. REPLACED FOR ORDER 9539,,,UPS,,,,,,,3/8/2023,GE,42300080998,,GE Energy Parts. ATLANTA,1,,,,,,,,,,,,,
,9361,LIMIT SWITCH,EESCO,2/17/2023,,eescoservice@eescodist.com,8/9/2023,UPS,1Z6299300306899294,12,14,8,3 LBS,,3/16/2023,Jords,108781,,Jords Vietnam,1,,08/11/2023 DHL 48 5074 1895,,,,,,,,,,,
3-Apr-23,9362,VALVE MANIFOLD,The Blythe Company,9/18/2023,Pickup from RMS. Ready for pickup 6/7/2023,patti@theblythecompany.com,,UPS,,,,,,,3/23/2023,Jords,108780,,Contact ECI,all,,,,,,,,,,,,,
,9342,Fan Cover Drip Cover,Steiner,1-2 Weeks ARO,,bnelson@stnr.com,Received,,,,,,,,1/31/2023,Jords,108630,,Contact ECI,"1,2",,,,,,,,,,,,,
13-Feb-23,9364,Solenoid Valve,CoAx Valves,,Order Canceled by the customer. Discontinued model.,Steve.Hopson@coaxvalves.com,,,,,,,,,2/13/2023,Jords,108692,,PLEASE CONTACT YJZHANG@JORDENERGY.COM.AU AND MAVVA@JORDENERGY.COM.AU,,,Order Cancelled,,,,,,,,,,,Order Canceled by the customer. Discontinued model.
,Purchased and shipped,8 F5OLO-SS-FKM,,,,,,,,,,,,,3/1/2023,Jords,108734,,Jords Vietnam,,,Shipped (Handled by Raj),,,,,,,,,,,Paperwork lost
28-Apr-23,9381,368A7256P061 #14 1Core,QuirkWire,5/8/2023,,mczub@quirkwire.com,,,,,,,,,2/10/2023,Jords,108683,,EXW,1,,5/12/2023,,,,,,UPS,1Z2Y36Y30395851998,,,,DELIVERED in Cerritos on 05/17/2023
5-Apr-23,9368,FIRE DETECTORS,TERRY FERRARIS S.R.L.,12/14 working weeks at receipt of the payment,9368 Order discarded - replaced for 9437 (Protegis),barbara.tunesi@terryferraris.it,,,,,,,,,2/9/2023,Jords,108474,,Contact ECI,all,,,,,,,,,,,,,
29-Mar-23,9365,FITTINGS 8 F5OLO-SS-FKM,Airline Hydraulics corp,3/27/2023,Could be ready for shipping - Item delivered at WH,cparker@airlinehyd.com,,UPS,1Z2VX5130350200301,,,,,,3/28/2023,Jords,108819,,Jords Vietnam,1,7307.19.308500,23-Apr,,,,,,,,,,,
1-Apr-23,9366,BI-METAL THERMOMETER,,,Order discarded. Purchased to FLW. See Order 9408.,andy@kodiakcontrols.com,,,,,,,,,3/22/2023,Jords,108585,,Contact ECI,1,,9/27/2023,,8,8,8,2 LBS,UPS,1Z2Y36Y30390326010,,,,
5-Apr-23,9367,"CHECK VALVE 1""",American Production Valve,5/10/2023,Could be ready for shipping - Item delivered at WH,clay@americanproductionvalve.com,5/11/2023,UPS,1Z7598390377730365,,,,,,4/4/2023,GE,42300086624,,GE Energy Parts. ATLANTA,1,8481.80.902000,9/14/2023 FedEx 773416985752,,6,6,6,9LBS,,,,,,
6-Apr-23,9369,O-RING 6 3 BY 4X7X1 BY 8,Novaspect,2-3 Weeks ARO,,TReboletti@novaspect.com,4/20/2023,UPS,1Z6253760395184479,11,7,1,1 LB,,4/6/2023,GE,42300087365,,GE Energy Parts. ATLANTA,1,,8/22/2023,,,,,,Fedex,773100170923,,,,
6-Apr-23,9370,O-RING 7 BY 8X1 1 BY 8X1 BY 8,Novaspect,2-3 Weeks ARO,,TReboletti@novaspect.com,,UPS,,,,,,,4/6/2023,GE,42300087364,,GE Energy Parts. ATLANTA,1,,08/02/2023 Fedex 772931504332,,,,,,,,,,,
6-Apr-23,9371,RING BACK-UP-4 4 3 BY 8,Novaspect,2-3 Weeks ARO,3,TReboletti@novaspect.com,,UPS,,,,,,,4/6/2023,GE,42300087362,,GE Energy Parts. ATLANTA,1,,8/2/2023 via Fedex 772931608672,,,,,,,,,,,
6-Apr-23,9372,SEAT RING BOTTOM- 4,Novaspect,2-3 Weeks ARO,,TReboletti@novaspect.com,Received,UPS,,,,,,,4/6/2023,GE,42300087363,,GE Energy Parts. ATLANTA,1,,8/7/2023 FEDEX 772974784658,,,,,,FEDEX,7729 7478 4658,,,,
6-Apr-23,9373,SEAL RING-4 4 3 BY 8 PORT,Novaspect,2-3 Weeks ARO,,TReboletti@novaspect.com,,UPS,,,,,,,4/6/2023,GE,42300087361,,GE Energy Parts. ATLANTA,1,,08/02/2023 via Fedex 772931646000,,,,,,,,,,,
11-Apr-23,9374,GASKET SET 4 YD,Novaspect,2-3 Weeks ARO,,TReboletti@novaspect.com,,UPS,,,,,,,4/11/2023,GE,42300087698,,GE Energy Parts. ATLANTA,1,,08/01/2023 Fedex 772919764192,,,,,,,,,,,
11-Apr-23,9375,ORING-5 1 BY 4X5 7 BY 16X3 BY 32,Novaspect,2-3 Weeks ARO,Found in warehouse/put in stock,TReboletti@novaspect.com,5/19/2023,UPS,1Z6253760397059226,,,,,,4/11/2023,GE,42300087788,,GE Energy Parts. ATLANTA,1,,,,,,,,,,,,,
14-Apr-23,9376,DETECTOR-ULTRA VIOLET,Forberg,2 weeks,Delivereed-,danielle.eddington@forbergsmith.com,,UPS,,,,,,,4/13/2023,GE,42300088233,,GE Energy Parts. ATLANTA,1,9018.20.008000,07/14/2023 Fedex 781147347526,,,,,,,,,,,Received in Atlanta
20-Apr-23,9377,O-RING 6 3 BY 4X7X1 BY 8,Novaspect,2-3 Weeks ARO,,TReboletti@novaspect.com,,UPS,,,,,,,4/20/2023,GE,42300090154,,GE Energy Parts. ATLANTA,1,,08/02/2023 Fedex 772931751080,,,,,,,,,,,
20-Apr-23,9378,O-RING 7 BY 8X1 1 BY 8X1 BY 8,Novaspect,2-3 Weeks ARO,,TReboletti@novaspect.com,6/12/2023,UPS,1Z6253760395046065,,,,,,4/20/2023,GE,42300090153,,GE Energy Parts. ATLANTA,1,,08/03/2023 Fedex 772941107971,,,,,,,,,,,
21-Apr-23,9379,I-P ASSY-SHROUD,Novaspect,1 Week ARO,,TReboletti@novaspect.com,7/10/2023,UPS,1Z6253760394520893,10,6,4,2 LBS,,4/18/2023,GE,42300089446,,GE Energy Parts. ATLANTA,1,,08/10/2023 FEDEX 773015885384 / 773015886509,,,,,,,,,,,
21-Apr-23,9380,Custom Hose Assembly,Bristol Hose,4/25/2023,Details not available in Teams files. Pickup from RMS. Ready for pickup 4/25/2023,droberts@bristolhose.com,,,,,,,,,2/14/2022,Jords,107252-1,,Jords to THAILAND,1,3917.40.009000,3/9/2022,,,,,,,,,,,
28-Apr-23,9382,GASKET SET 4 YD,Novaspect,2-3 Weeks ARO,Shipped 05/19/2023,TReboletti@novaspect.com,5/19/2023,UPS,1Z6253760394526182,,,,,,4/28/2023,GE,42300092330,,GE Energy Parts. ATLANTA,1,,8/2/2023 Fedex 772931358782,,,,,,,,,,,
28-Apr-23,9383,NEEDLE MANIFOLD VALVE /  CHECK VALVE,Flodyne/ Hydradyne INC,5/27/2023,Could be ready for shipping - Item delivered at WH,Aleksy@cmafh.com,5/10/2023,UPS,1Z6025520355473065,,,,,,4/28/2023,GE,42300092330,,,"2,3",8481.40.000000,8/2/2023 Fedex 772931358782,,,,,,,,,,,
28-Apr-23,9384,O-RING 6 3 BY 4X7X1 BY 8,Novaspect,2-3 Weeks ARO,,TReboletti@novaspect.com,,UPS,,,,,,,4/28/2023,GE,42300092556,,GE Energy Parts. ATLANTA,1,,08/02/2023 Fedex 772931784699,,,,,,,,,,,
28-Apr-23,9385,PIN GROOVE TYPE F-1 BY 8,Novaspect,2-3 Weeks ARO,,TReboletti@novaspect.com,,UPS,1Z6253760396084487,,,,,,4/28/2023,GE,42300092554,,GE Energy Parts. ATLANTA,1,,8/28/2023,,,,,,Fedex,773100083048,,,,
28-Apr-23,9386,SEAT RING BOTTOM- 4,Novaspect,2-3 Weeks ARO,,TReboletti@novaspect.com,,UPS,,,,,,,4/28/2023,GE,42300092553,,GE Energy Parts. ATLANTA,1,,08/01/2023 Fedex 772919666273,,,,,,,,,,,
28-Apr-23,9387,O-RING 7 BY 8X1 1 BY 8X1 BY 8,Novaspect,2-3 Weeks ARO,,TReboletti@novaspect.com,,UPS,,,,,,,4/28/2023,GE,42300092555,,GE Energy Parts. ATLANTA,1,,8/28/2023,,,,,,Fedex,773100105241,,,,
28-Apr-23,9388,SEAL RING-4 4 3 BY 8 PORT,Novaspect,2-3 Weeks ARO,,TReboletti@novaspect.com,6/5/2023,UPS,1Z6253760390344126,11,8,1,1 LB,,4/28/2023,GE,42300092551,,GE Energy Parts. ATLANTA,1,,8/22/2023,,,,,,FedEx,773100063528,,,,
28-Apr-23,9389,ORING-5 1 BY 4X5 7 BY 16X3 BY 32,Novaspect,2-3 Weeks ARO,,TReboletti@novaspect.com,6/5/2023,UPS,1Z6253760394668092,,,,,,4/28/2023,GE,42300092550,,GE Energy Parts. ATLANTA,1,,8/22/2023,,,,,,FedEx,773100037770,,,,
1-May-23,9390,RING BACK-UP-4 4 3 BY 8,Novaspect,2-3 Weeks ARO,,TReboletti@novaspect.com,6/5/2023,UPS,1Z6253760393177516,,,,,,4/28/2023,GE,42300092552,,GE Energy Parts. ATLANTA,1,,8/28/2023,,,,,,FedEx,773100011406,,,,
2-May-23,9391,GASKET SET 4 YD,Novaspect,2-3 Weeks ARO,,TReboletti@novaspect.com,6/5/2023,UPS,1Z6253760398579583,,,,,,5/2/2023,GE,42300092770,,GE Energy Parts. ATLANTA,1,,08/01/2023 Fedex 772919689333,,,,,,,,,,,
2-May-23,9392,ORING-SEAL RING-RING BACK UP-PIN GROOVE,Novaspect,2-3 Weeks ARO,,TReboletti@novaspect.com,6/5/2023,UPS,1Z6253760396459608,,,,,,5/2/2023,GE,42300092817,,GE Energy Parts. ATLANTA,all,,08/01/2023 Fedex 772919573401,,,,,,,,,,,
2-May-23,9393,KIT REPAIR-PACKING SING,Novaspect,1 Weeks ARO,Shipped 05/24/2023,TReboletti@novaspect.com,,UPS,,,,,,,5/2/2023,GE,42300093046,,GE Energy Parts. ATLANTA,1,,08/02/2023 Fedex 772931454210,,,,,,,,,,,
5-May-23,9394,LIFT OIL SYS PRESS SWITCH,RMS,5/11/2023,Taken from Stock,,,,,,,,,,4/19/2023,GE,42300089875,,GE Energy Parts. ATLANTA,1,8535.90.806000,Fedex Label Created 18/08/2023. Not on way.,,,,,,Fedex,773100193604,,,,
8-May-23,9395,BALL VALVES,ACI Controls,2 Weeks,Is due by 05/26/2023 - Previous vendor emails could not be found to confirm ,ssmith@aci-controls.com,6/15/2023,UPS,,,,,,,3/23/2023,Jords,108801,,Jords Vietnam,all,8481.80.902000,7/7/2023,,,,,,,,,,,
8-May-23,9396,"VALVE, BALL 3 PIECE THD 1/2""",ACI Controls,2 Weeks,,ssmith@aci-controls.com,7/21/2023,UPS,"1Z91W8160393487900 
1Z91W8160393567092 ",,,,,,4/23/2023,Jords,108804,,Jords to THAILAND,all,8481.80.902000,Pick up by ECI,,,,,,,,,,,
17-May-23,9398,KIT REPAIR-PACKING SING,Novaspect,1 Week ARO,,TReboletti@novaspect.com,5/23/2023,UPS,1Z6253760390101487,10,6,4,1 LB,,5/5/2023,GE,42300094183,,GE Energy Parts. ATLANTA,1,,8/29/2023,,,,,,FedEx,773100132267,,,,
19-May-23,9399,SEAT RING BOTTOM- 4,Novaspect,2-3 Weeks ARO,,TReboletti@novaspect.com,5/31/2023,UPS,1Z6253760398042983,,,,,,5/12/2023,GE,42300095355,,GE Energy Parts. ATLANTA,1,,08/01/2023 Fedex 772919742990,,,,,,,,,,,
26-Apr-23,9400,DOOR LATCH C/W ADJ STRKR,UES,19-May,Sales: 3 pcs Purchase with Credit Card // Details not available in Teams files,cformhals@uesint.com,5/19/2023,UPS,1ZW824970337255043,,,,13 LBS,,4/13/2023,GE,42300088616,,GE Energy Parts. ATLANTA,1,8302.10.609000,,,,,,,,,,,,
19-May-23,9401-2,TANK MAGNETS,ACI Controls,6/16/2023,Previous vendor emails could not be found to confirm ,ssmith@aci-controls.com,,UPS,,,,,,,4/27/2023,Jords,108945,,Contact ECI,1,7310.29.0030000,08/15/2023 UPS 1Z2Y36Y30399364436,,,,,,,,,,,
19-May-23,9402,SEAT RING BOTTOM- 4,Novaspect,2-3 Weeks ARO,,TReboletti@novaspect.com,6/5/2023,UPS,1Z6253760397682392,,,,,,5/17/2023,GE,42300096462,,GE Energy Parts. ATLANTA,1,,08/01/2023 via Fedex 772919638836 and 772919639225,,,,,,,,,,,
5-Jun-23,9403,HOSE,Geib Industries,5-7 days prox ARO,Details not available in Teams files,Zalas@geibind.com,6/23/2023,UPS,1Z6136340359272554,,,,,,3/1/2023,Jords,108736,,"CONTACT: SSASEENDRAN@JORDENERGY.COM.AU, YJZHANG@JORDENERGY.COM.AU, LKUMARA@JORDENERGY.COM.AU",1,3917.40.001000,6/29/2023,,,,,,DHL,9863080334,,,,Shipped via DHL
19-May-23,9404,SEAT RING BOTTOM- 4,,2-3 Weeks ARO,06/22/2023> This order is invoice/closed,TReboletti@novaspect.com,,UPS,,,,,,,5/18/2023,GE,42300096755,,GE Energy Parts. ATLANTA,1,,08/02/2023 Fedex 772931401271,,,,,,,,,,,
18-May-23,9405,PUMP HYDRAULIC,,5/19/2023,Taken from stock. Could be ready for shipping,PN Taken FROM STOCK,,,,,,,,,5/16/2023,GE,42300096153,,GE Energy Parts. ATLANTA,1,8413.19.000000,Delivered and invoiced,,,,,,,,,,,Taken from Stock
19-May-23,9406-1,TANK MAGNETS,,,,ssmith@aci-controls.com,7/18/2023,UPS,,,,,,,Purchase for stock,,RMS,,,,,,,,,,,,,,,,
7-Jun-23,9407,SUMP STRAINER,"Flow Ezy Filters, Inc.",6-8 weeks,Supplier will ship at the mid or end of July.,ncannon@flowezyfilters.com,8/10/2023,UPS ,1Z4575840346101161,14,13,9,5 LBS,,5/18/2023,Jords,108874,,Contact ECI,1,4823.90.670000,08/11/2023 UPS 1Z2Y36Y30391245785,,,,,,,,,,,
8-Jun-23,9408,BI-METAL THERMOMETER,"FLW, INC.",4-6 weeks to ship from Weksler,,corey.kost@flw.com,7/25/2023,UPS,1Z9874030347178212,11,9,7,2 LBS,,3/22/2023,GE,108585,,Contact ECI,,,9/27/2023,Delivered,,,,,UPS,1Z2Y36Y30390326010,,,,
7-Jun-23,9409,SEAT RING BOTTOM- 4,Nova,2-3 Weeks ARO,6/22/2023> This will ship next week ,,,UPS,,,,,,,5/19/2023,GE,42300097088,,GE Energy Parts. ATLANTA,,,08/01/2023 Fedex 772919713088,,,,,,,,,,,
7-Jun-23,9410,GASKET SET 4 YD,Nova,2-3 Weeks ARO,6/22/2023> This will ship next week ,,6/26/2023,FEDEX,7802 6417 8735,,,,,,5/26/2023,GE,42300098976,,GE Energy Parts. ATLANTA,,,8/18/2023 NOT ON WAY,,,,,,Fedex,773099907385,,,,
5-Jun-23,9411,SEVERAL ITEMS,Nova,2-3 Weeks ARO,6/22/2023> This will ship next week ,,6/28/2023,UPS,1Z6253760398801055,,,,,,5/26/2023,GE,42300099110,,GE Energy Parts. ATLANTA,,,8/18/2023,,,,,,Fedex,773099941564,,,,
5-Jun-23,9412,VALVE MANIFOLD REPLACEMENT,The Blythe Company,On stock. Ship ASAP.,,patti@theblythecompany.com,,UPS,,,,,,,3/23/2023,Jords,108780,,Contact ECI,all,,,,,,,,,,,,,
23-Jun-23,9413-1,HOSE ADAPTERS,Geib Industries,5-7 days prox ARO,Awaiting Raj review,Zalas@geibind.com,6/26/2023,UPS,1Z 613 634 03 5846 2412,,,,,,3/1/2023,Jords,108736,,"CONTACT: SSASEENDRAN@JORDENERGY.COM.AU, YJZHANG@JORDENERGY.COM.AU, LKUMARA@JORDENERGY.COM.AU",1,,6/29/2023,,,,,,DHL,9863080334,,,,
18-May-23,9414,,RMS,,Taken from stock,,,,,,,,,,3/2/2023,Jords,108732,,Contact ECI,,,Shipped,,,,,,,,,,,
14-Jun-23,9415,VITON COVER O-RING,Hilliard,3-4 Weeks ARO,UPS Scheduled Delivery:	06/20/2023,gbickham@hilliardcorp.com,6/20/2023,UPS,1Z1298470367415121,13,10,9,1 LB,,6/6/2023,GE,42300100988,,GE Energy Parts. ATLANTA,1,,8/18/2023 in transit,,,,,,Fedex,773099907385,,,,
5-Jun-23,9416,DOOR LATCH C/W ADJ STRKR,UES,,5 rcv'd for RMS stock,cformhals@uesint.com,10/2/2023,DHL,7017189443,,,,,,4/13/2023,GE,42300088616,,GE Energy Parts. ATLANTA,1,8302.10.609000,9/22/2023,,10,10,10,17 lbs,FedEx,773506500088,,,,
12-Jun-23,9417,VALVE MANIFOLD,The Blythe Company,6/13/2023,,patti@theblythecompany.com,,UPS,,,,,,,6/16/2021,Jords,105893-1,,Contact ECI,1 and 3,,10/1/2021,,,,,,,,,,,
22-Jun-23,9418,PRESSURE GAUGE,RMS,,Taken from RMS stock,,,,,,,,,,6/20/2023,GE,42300104165,,GE Energy Parts. ATLANTA,1,,29/09/2023,Delivered,,,,,FedEx,773586459956,,,,Taken from RMS stock
22-Jun-23,9419,NFFD-HIV Sun Needle Valve T-18A,Hydradyne,1 - 2 weeks,Hold,Aleksy@cmafh.com,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-Jun-23,9420,802M-BATY5LIMIT SWITCH,EESCO,,Processed and received.,aclavey@eescodist.com,,UPS,,,,,,,3/16/2023,Jords,108781,,Jords Vietnam,1,,08/11/2023 DHL 48 5074 1895,,,,,,,,,,,
28-Jun-23,9421,Thermometers and Thermowells,Kodiak,5-6 Weeks,Order discarded. See order 1489118570 to Grainger,andy@kodiakcontrols.com,8/9/2023,FEDEX,654882845852,,,,,,5/6/2023,Jords,108847,,,all lines,,Pick up by ECI,,,,,,,,,,,
28-Jun-23,9422,Thermometers and Thermowells,Kodiak,5-6 Weeks,Order discarded. See order 1489118570 to Grainger,andy@kodiakcontrols.com,8/9/2023,FEDEX,654882845852,,,,,,5/6/2023,Jords,108848,,,all lines,,Pick up by ECI,,,,,,,,,,,
8-Jul-23,9423,SIGHT FLOW INDICATOR,Lesman,2 Weeks,Shipped 7/17/23,gina@lesman.com,7/18/2023,UPS,1Z6208880311198246,,,,,,5/6/2023,Jords,108851,,,all lines,,Pick up by ECI,,,,,,,,,,,
8-Jul-23,9424,SIGHT FLOW INDICATOR,Lesman,2 Weeks,Shipped 7/17/23,gina@lesman.com,7/18/2023,UPS,1Z6208880311198273,,,,,,5/6/2023,Jords,108852,,,all lines,,Pick up by ECI,,,,,,,,,,,
3-Jul-23,9425,"LIMIT SWITCH, ADJUSTABLE PUSH",EESCO,4 Weeks,,eescoservice@eescodist.com / pam.salotti@wesco.com,8/2/2023,UPS,1Z6299300306895485,12,12,12,10 LBS,,5/6/2023,Jords,108858,,,all lines,,Pick up by ECI,,,,,,,,,,,
4-Jul-23,9426,PROBE STYLE VALVE,Checkfluid Inc,7/5/2023,,"kaylalunny@checkfluid.com
adaconceicao@checkfluid.com",,UF,Z4819E0034739379,,,,,,5/6/2023,Jords,108859,,,all lines,,Pick up by ECI,,,,,,,,,,,
8-Jul-23,9427,TANK MAGNET,ACI,Unknwon,,ssmith@aci-controls.com,,,,,,,,,5/6/2023,Jords,108860-1,,,all lines,,Pick up by ECI,,,,,,,,,,,
8-Jul-23,9427,TANK MAGNET,ACI,Unknwon,,ssmith@aci-controls.com,,,,,,,,,5/6/2023,Jords,108860-1,,,all lines,,Pick up by ECI,,,,,,,,,,,
19-Jul-23,9429,"STRAINER, CONICAL",Sure Flow Equipment,7/26/2023,,J.LeBlanc@sureflowequipment.com,7/28/2023,UPS,1Z1X45740370975269,,,,,,5/6/2023,Jords,108862-1,,,all lines,,Pick up by ECI,,,,,,,,,,,
6-Jul-23,9430,BALL VALVE,ACI,2 Weeks,,gina@lesman.com,7/26/2023,,,,,,,,5/6/2023,Jords,108870-1,,,all lines,,Pick up by ECI,,,,,,,,,,,
6-Jul-23,9431,KITS OF HYD SYSTEM HOSES,Bristol,7/24/2023,,droberts@bristolhose.com,Received,,,,,,,,5/6/2023,Jords,108856-1,,,all lines,,Pick up by ECI,,,,,,,,,,,
6-Jul-23,9432,KITS OF HYD SYSTEM HOSES,Bristol,7/24/2023,,droberts@bristolhose.com,Received,,,,,,,,5/6/2023,Jords,108857-1,,,all lines,,Pick up by ECI,,,,,,,,,,,
6-Jul-23,9433,KITS OF LIFT SYSTEM HOSES,Bristol,7/24/2023,,droberts@bristolhose.com,Received,,,,,,,,5/6/2023,Jords,108849-1,,,all lines,,Pick up by ECI,,,,,,,,,,,
6-Jul-23,9434,KITS OF LIFT SYSTEM HOSES,Bristol,7/24/2023,,droberts@bristolhose.com,Received,,,,,,,,5/6/2023,Jords,108850-1,,,all lines,,Pick up by ECI,,,,,,,,,,,
4-Jul-23,9435 - Canceled,IMPELLER NUT,Buffalo,2 Weeks,Vendor do not process order lower than $200,nschultz@buffalopumps.com,,,,,,,,,,,RMS Stock,,,,,,,,,,,,,,,,
17-Jul-23,9436,NEEDLEVALVE,Sunbelt Supply Co,7/31/2023,,richard.matyas@sunbeltsupply.com,,UPS,,,,,,,6/27/2023,Jords,109221,,,1,,DELIVERED in Cerritos on 08/30/2023,,,,,,UPS,1Z2Y36Y30397365046,,,,
11-Jul-23,9437,FIRE DETECTOR,Protegis,6 - 8 Weeks,,lpayne@protegis.com,8/1/2023,UPS,1Z4092830396709999,9,9,6,3 LBS,,2/9/2023,Jords,108474-1,,,all lines,,Delivered 08/11/2023. DHL Tracking 1903564762,,,,,,,,,,,
12-Jul-23,9438,HYDRAULIC PUMP,Hydradyne,1 week,It was purchase for RMS Stock and then assigned to order 42300105934,Aleksy@cmafh.com,7/18/2023,UPS,1Z6025520360038605,,,,55 LBS,,6/29/2023,GE,42300105934,,,,,8/18/2023,,,,,,Fedex,773099696735,,,,
12-Jul-23,9439,Hot Rolled Plate,Metal Supermarket,1 day,Already received,villapark@Metalsupermarkets.com,,Delivery,,,,,,,,,,,,,,,,,,,,,,,,,
21-Jul-23,9440,ITT NEODYNE PRESSURE SWITCH,Forberg,In Stock,,danielle.eddington@forbergsmith.com,7/25/2023,UPS,1Z482EW80351852585,,,,,,4/19/2023,GE,42300089875,,GE Energy Parts. ATLANTA,1,8535.90.806000,Fedex Label Created 18/08/2023. Not on way.,,,,,,Fedex,773100193604,,,,
14-Jul-23,9441,SAE Fittings,Ritter,7/21/2023,RMS Stock (230713 JRSELCHI),customercare@rittertech.com,7/18/2023,UPS,,,,,,,,,,,,,,,,,,,,,,,,,
14-Jul-23,9442,SAE Fittings,Airline,7/18/2023,RMS Stock (230713 JRSELCHI),CParker@airlinehyd.com,7/19/2023,UPS,1Z2VX5130350973405,,,,,,,,,,,,,,,,,,,,,,,,
17-Jul-23,9443,SAE Fittings,Hydradyne,1 week,RMS Stock (RFQ 230509 JRALPRA JEN1525). Shipped 7/20,aleksymcconnell@cmafh.com,7/21/2023,UPS,1Z27YE430348339968,,,,,,,,,,,,,,,,,,,,,,,,
20-Jul-23,9444,Pump PVWJ064A1UVRSFYP2NNSN/0279,FPP,12 weeks,RMS Stock,kgurley@fppinc.com,10/12/2023,R&L CARRIER,251376723,,,,150,,,,,,,,,,,,,,,,,,,,
12-Jul-23,9445,PRESSURE VALVE PRDB-LBV,Automation Recovery,In stock,PAID BY CC (RFQ 230509 JRALPRA JEN1525),sales@automationrecovery.com,,,,,,,,,,,8/23/2023,,Jord,109497,Contact ECI,8/23/2023,,,,,,UPS ,1Z2Y36Y30391788592,,,,
20-Jul-23,9446,Parker Fittings,Hydradyne - Dallas Fort Worth,In stock,RMS Stock (RFQ 230509 JRALPRA JEN1525).,aloya@hydradynellc.com,7/25/2023,,,,,,,,,,8/23/2023,,Jord,109497,Contact ECI,8/23/2023,,,,,,UPS ,1Z2Y36Y30391788592,,,,
27-Jul-23,9447,KIT-AIR FILTER REPLACMENT / Porostone Filter,RP Adams,8/21/2023,,info@rpadams.com,8/30/2023,UPS,Freight LTL# 052220862,,,,,,7/24/2023,GE,42300107313,,GE Energy Parts. ATLANTA,1,,1/17/2024,Delivered,12,12,16,38,Fedex,774817173371,,,,SHIPPED 6 OF 6 BOXES
27-Jul-23,9448,Porostone Filter,RP Adams,8/21/2023,RMS Stock,info@rpadams.com,8/30/2023,UPS,94,,,,,,,,,,,,,,,,,,,,,,,,
26-Jul-23,9449,TEST POINT FITTING,Hydradyne,In stock,RMS Stock (RFQ 230509 JRALPRA JEN1525).,aleksymcconnell@cmafh.com,7/27/2023,UPS,1Z6025520360048658,,,,1 LB,,8/23/2023,Jord,109497,,Contact ECI,,,,,,,,,,,,,,
26-Jul-23,9450,"ELBOW, FLANGEHEAD TO ORFS",Ritter,8/9/2023,RMS Stock (RFQ 230509 JRALPRA JEN1525).,customercare@rittertech.com,Received August -2023,,,,,,,,8/23/2023,Jord,109497,,Contact ECI,,,8/23/2023,,,,,,UPS ,1Z2Y36Y30391788592,,,,
26-Jul-23,9451,FLANGE ELBOW BLOCK CD61,Main Manufacturing products,5 days,RMS Stock (RFQ 230509 JRALPRA JEN1525).,info@mainmfg.com,Received,,,,,,,,8/23/2023,Jord,109497,,Contact ECI,,,8/23/2023,,,,,,UPS ,1Z2Y36Y30391788592,,,,
31-Jul-23,9452,Parker Fittings,Hydradyne - Dallas Fort Worth,In stock,RMS Stock (RFQ 230509 JRALPRA JEN1525).,aloya@hydradynellc.com,,,,,,,,,8/23/2023,Jord,109497,,Contact ECI,,,8/23/2023,,,,,,UPS ,1Z2Y36Y30391788592,,,,
31-Jul-23,9453,TEST POINT FITTING,Hydradyne,In stock,RMS Stock (RFQ 230509 JRALPRA JEN1525).,aleksymcconnell@cmafh.com,"
08/02/2023",UPS,1Z6025520360053017,,,,,,8/23/2023,Jord,109497,,Contact ECI,,,8/23/2023,,,,,,UPS ,1Z2Y36Y30391788592,,,,
31-Jul-23,9454,"ELBOW, FLANGEHEAD TO ORFS",Ritter,8/10/2023,RMS Stock (RFQ 230509 JRALPRA JEN1525).,customercare@rittertech.com,8/11/2023,Fedex,578440621033,,,,,,8/23/2023,Jord,109497,,Contact ECI,,,8/23/2023,,,,,,UPS ,1Z2Y36Y30391788592,,,,
